ID Obce;Název Obce;Voliči v seznamu;Vydané obálky;Platné hlasy;Dělnic.str.sociální spravedl.;Občanská demokratická aliance;Radostné Česko;Blok proti islam.-Obran.domova;Dobrá volba 2016;Svob.a př.dem.-T.Okamura (SPD);Občanská demokratická strana;TOP 09;Strana zelených;Řád národa - Vlastenecká unie;SPR-Republ.str.Čsl. M.Sládka;CESTA ODPOVĚDNÉ SPOLEČNOSTI;Strana svobodných občanů;REALISTÉ;ROZUMNÍ-stop migraci,diktát.EU;SPORTOVCI;STAROSTOVÉ A NEZÁVISLÍ;ANO 2011;Křesť.demokr.unie-Čs.str.lid.;Česká str.sociálně demokrat.;Komunistická str.Čech a Moravy;Strana Práv Občanů;Česká pirátská strana;Referendum o Evropské unii
592013;Babice;1452;873;866;0;2;0;0;1;133;79;23;5;0;0;0;3;5;6;1;55;254;95;60;66;4;74;0
592021;Bánov;1707;1070;1063;0;2;0;1;1;156;92;11;10;2;0;1;11;6;1;0;117;293;148;75;62;2;71;1
592030;Bílovice;1473;1018;1008;1;1;1;0;0;92;98;28;10;0;2;0;14;4;5;3;66;264;147;67;80;35;90;0
592048;Bojkovice;3635;2183;2170;3;1;1;1;0;322;290;37;23;6;3;0;20;16;7;1;79;612;208;165;225;12;134;4
592064;Boršice;1788;1141;1131;1;0;1;0;2;108;103;33;14;0;0;0;14;4;3;1;61;279;199;74;136;3;95;0
592056;Boršice u Blatnice;660;407;404;0;0;0;0;0;39;49;9;1;0;2;0;8;1;3;1;13;95;73;24;59;1;25;1
592072;Břestek;657;406;402;0;0;0;0;0;37;49;13;6;0;2;0;10;4;1;0;19;128;27;36;33;0;37;0
592081;Březolupy;1359;881;877;1;1;1;2;0;112;99;24;7;3;2;0;9;22;10;1;68;189;87;64;84;11;80;0
592099;Březová;827;442;439;1;0;0;0;0;80;44;3;1;2;2;0;3;1;2;0;32;128;59;10;51;1;19;0
592102;Buchlovice;2085;1333;1320;1;1;3;1;1;131;173;38;20;4;3;0;15;5;6;1;57;358;129;107;135;8;123;0
592111;Bystřice pod Lopeníkem;663;428;423;1;0;1;0;0;81;25;2;6;0;2;0;4;1;4;1;71;105;40;20;31;3;25;0
592137;Částkov;308;197;195;0;1;0;0;0;38;9;1;1;0;0;0;3;4;4;0;6;64;26;10;17;0;10;1
592145;Dolní Němčí;2464;1474;1469;6;1;4;0;1;206;120;35;10;0;0;0;17;6;13;3;151;384;235;104;67;11;95;0
592153;Drslavice;431;308;307;0;2;0;0;0;54;23;8;1;0;0;0;6;1;2;0;6;61;87;16;18;7;15;0
592170;Hluk;3503;2188;2171;2;2;2;1;1;306;222;50;25;4;4;2;33;7;10;3;131;560;322;149;164;11;157;3
592188;Horní Němčí;681;434;434;2;1;0;3;0;82;32;7;2;0;1;0;3;10;2;0;30;105;42;31;55;4;21;1
592196;Hostějov;36;33;33;0;0;0;0;0;1;1;3;0;0;0;0;0;1;0;0;2;2;12;3;6;0;2;0
550736;Hostětín;192;137;136;0;0;0;0;0;12;15;2;7;0;0;0;5;2;0;0;6;24;36;10;7;0;10;0
592200;Hradčovice;810;570;564;2;0;0;0;0;59;37;20;6;0;0;0;7;4;3;0;18;137;149;24;17;54;27;0
592218;Huštěnovice;793;535;531;2;2;0;0;0;71;37;8;9;1;3;0;6;3;3;0;22;172;62;32;51;2;44;1
592226;Jalubí;1452;868;864;7;0;0;0;0;83;78;14;6;0;0;0;9;3;5;1;71;289;104;67;76;3;48;0
592234;Jankovice;380;243;243;1;0;0;0;0;37;17;6;1;0;1;0;1;1;2;0;12;83;14;21;27;0;18;1
592269;Kněžpole;886;632;627;0;0;1;0;0;57;55;11;3;0;1;0;15;2;2;5;27;180;125;37;61;1;44;0
592277;Komňa;449;326;324;1;0;0;0;0;31;108;2;4;1;0;0;2;2;0;0;9;74;17;18;32;7;16;0
592285;Korytná;783;493;492;0;2;0;0;0;57;22;16;2;1;0;0;3;6;4;0;54;155;51;41;51;4;22;1
592293;Kostelany nad Moravou;749;476;473;1;0;0;0;0;68;47;8;7;0;2;0;4;1;3;0;26;139;68;25;36;1;37;0
